2025-11-18T00:09:49.690-05:00  INFO 41189 --- [configserver] [http-nio-8080-exec-9] .c.s.e.MultipleJGitEnvironmentRepository : Fetched for remote configs and found 1 updates
2025-11-18T01:19:47.737-05:00  INFO 106085 --- [configserver] [main] c.j.c.ConfigserverApplication            : Starting ConfigserverApplication using Java 21.0.8 with PID 106085 (/home/juan/Escritorio/interviews/kata/backend/configserver/target/classes started by juan in /home/juan/Escritorio/interviews/kata/backend)
2025-11-18T01:19:47.738-05:00  INFO 106085 --- [configserver] [main] c.j.c.ConfigserverApplication            : No active profile set, falling back to 1 default profile: "default"
2025-11-18T01:19:49.005-05:00  INFO 106085 --- [configserver] [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=61ee11b3-46f6-36de-987d-602cc4e89830
2025-11-18T01:19:49.257-05:00  INFO 106085 --- [configserver] [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 8080 (http)
2025-11-18T01:19:49.267-05:00  INFO 106085 --- [configserver] [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2025-11-18T01:19:49.268-05:00  INFO 106085 --- [configserver] [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.43]
2025-11-18T01:19:49.302-05:00  INFO 106085 --- [configserver] [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2025-11-18T01:19:49.302-05:00  INFO 106085 --- [configserver] [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1513 ms
2025-11-18T01:19:52.074-05:00  INFO 106085 --- [configserver] [main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 2 endpoints beneath base path '/actuator'
2025-11-18T01:19:52.127-05:00  INFO 106085 --- [configserver] [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port 8080 (http) with context path '/'
2025-11-18T01:19:52.142-05:00  INFO 106085 --- [configserver] [main] c.j.c.ConfigserverApplication            : Started ConfigserverApplication in 4.923 seconds (process running for 5.98)
2025-11-18T01:19:52.809-05:00  INFO 106085 --- [configserver] [RMI TCP Connection(2)-192.168.0.7] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-11-18T01:19:52.811-05:00  INFO 106085 --- [configserver] [RMI TCP Connection(2)-192.168.0.7] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2025-11-18T01:19:52.813-05:00  INFO 106085 --- [configserver] [RMI TCP Connection(2)-192.168.0.7] o.s.web.servlet.DispatcherServlet        : Completed initialization in 2 ms
2025-11-18T01:20:34.765-05:00  INFO 106085 --- [configserver] [http-nio-8080-exec-1] o.s.c.c.s.e.NativeEnvironmentRepository  : Adding property source: Config resource 'file [/tmp/config-repo-15869498459814011079/eurekaserver.yml]' via location 'file:/tmp/config-repo-15869498459814011079/'
2025-11-18T01:34:31.937-05:00  INFO 106085 --- [configserver] [http-nio-8080-exec-3] o.s.c.c.s.e.NativeEnvironmentRepository  : Adding property source: Config resource 'file [/tmp/config-repo-15869498459814011079/ranking.yml]' via location 'file:/tmp/config-repo-15869498459814011079/'
2025-11-18T01:34:52.953-05:00  INFO 106085 --- [configserver] [http-nio-8080-exec-4] o.s.c.c.s.e.NativeEnvironmentRepository  : Adding property source: Config resource 'file [/tmp/config-repo-15869498459814011079/gatewayserver.yml]' via location 'file:/tmp/config-repo-15869498459814011079/'
2025-11-18T01:37:43.226-05:00  INFO 106085 --- [configserver] [http-nio-8080-exec-7] o.s.c.c.s.e.NativeEnvironmentRepository  : Adding property source: Config resource 'file [/tmp/config-repo-15869498459814011079/ranking.yml]' via location 'file:/tmp/config-repo-15869498459814011079/'
2025-11-18T01:41:45.387-05:00  INFO 106085 --- [configserver] [http-nio-8080-exec-9] o.s.c.c.s.e.NativeEnvironmentRepository  : Adding property source: Config resource 'file [/tmp/config-repo-15869498459814011079/ranking.yml]' via location 'file:/tmp/config-repo-15869498459814011079/'
2025-11-18T01:42:42.568-05:00  INFO 106085 --- [configserver] [http-nio-8080-exec-10] o.s.c.c.s.e.NativeEnvironmentRepository  : Adding property source: Config resource 'file [/tmp/config-repo-15869498459814011079/gatewayserver.yml]' via location 'file:/tmp/config-repo-15869498459814011079/'
2025-11-18T01:45:49.707-05:00  INFO 106085 --- [configserver] [http-nio-8080-exec-3] o.s.c.c.s.e.NativeEnvironmentRepository  : Adding property source: Config resource 'file [/tmp/config-repo-15869498459814011079/gatewayserver.yml]' via location 'file:/tmp/config-repo-15869498459814011079/'
2025-11-18T01:46:21.025-05:00  INFO 106085 --- [configserver] [http-nio-8080-exec-4] o.s.c.c.s.e.NativeEnvironmentRepository  : Adding property source: Config resource 'file [/tmp/config-repo-15869498459814011079/ranking.yml]' via location 'file:/tmp/config-repo-15869498459814011079/'
2025-11-18T01:49:14.831-05:00  INFO 106085 --- [configserver] [http-nio-8080-exec-7] o.s.c.c.s.e.NativeEnvironmentRepository  : Adding property source: Config resource 'file [/tmp/config-repo-15869498459814011079/ranking.yml]' via location 'file:/tmp/config-repo-15869498459814011079/'
2025-11-18T01:49:36.529-05:00  INFO 106085 --- [configserver] [http-nio-8080-exec-8] o.s.c.c.s.e.NativeEnvironmentRepository  : Adding property source: Config resource 'file [/tmp/config-repo-15869498459814011079/gatewayserver.yml]' via location 'file:/tmp/config-repo-15869498459814011079/'
2025-11-18T01:55:23.571-05:00  INFO 106085 --- [configserver] [http-nio-8080-exec-1] o.s.c.c.s.e.NativeEnvironmentRepository  : Adding property source: Config resource 'file [/tmp/config-repo-15869498459814011079/ranking.yml]' via location 'file:/tmp/config-repo-15869498459814011079/'
2025-11-18T01:57:00.123-05:00  INFO 106085 --- [configserver] [http-nio-8080-exec-3] o.s.c.c.s.e.NativeEnvironmentRepository  : Adding property source: Config resource 'file [/tmp/config-repo-15869498459814011079/ranking.yml]' via location 'file:/tmp/config-repo-15869498459814011079/'
2025-11-18T02:01:13.271-05:00  INFO 106085 --- [configserver] [SpringApplicationShutdownHook] o.s.b.w.e.tomcat.GracefulShutdown        : Commencing graceful shutdown. Waiting for active requests to complete
2025-11-18T02:01:13.275-05:00  INFO 106085 --- [configserver] [tomcat-shutdown] o.s.b.w.e.tomcat.GracefulShutdown        : Graceful shutdown complete
2025-11-18T02:01:17.530-05:00  INFO 125105 --- [configserver] [main] c.j.c.ConfigserverApplication            : Starting ConfigserverApplication using Java 21.0.8 with PID 125105 (/home/juan/Escritorio/interviews/kata/backend/configserver/target/classes started by juan in /home/juan/Escritorio/interviews/kata/backend)
2025-11-18T02:01:17.532-05:00  INFO 125105 --- [configserver] [main] c.j.c.ConfigserverApplication            : No active profile set, falling back to 1 default profile: "default"
2025-11-18T02:01:18.731-05:00  INFO 125105 --- [configserver] [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=61ee11b3-46f6-36de-987d-602cc4e89830
2025-11-18T02:01:18.975-05:00  INFO 125105 --- [configserver] [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 8080 (http)
2025-11-18T02:01:19.000-05:00  INFO 125105 --- [configserver] [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2025-11-18T02:01:19.002-05:00  INFO 125105 --- [configserver] [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.43]
2025-11-18T02:01:19.036-05:00  INFO 125105 --- [configserver] [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2025-11-18T02:01:19.037-05:00  INFO 125105 --- [configserver] [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1463 ms
2025-11-18T02:01:21.698-05:00  INFO 125105 --- [configserver] [main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 2 endpoints beneath base path '/actuator'
2025-11-18T02:01:21.750-05:00  INFO 125105 --- [configserver] [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port 8080 (http) with context path '/'
2025-11-18T02:01:21.767-05:00  INFO 125105 --- [configserver] [main] c.j.c.ConfigserverApplication            : Started ConfigserverApplication in 4.715 seconds (process running for 5.737)
2025-11-18T02:01:22.062-05:00  INFO 125105 --- [configserver] [RMI TCP Connection(2)-192.168.0.7] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-11-18T02:01:22.062-05:00  INFO 125105 --- [configserver] [RMI TCP Connection(2)-192.168.0.7] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2025-11-18T02:01:22.064-05:00  INFO 125105 --- [configserver] [RMI TCP Connection(2)-192.168.0.7] o.s.web.servlet.DispatcherServlet        : Completed initialization in 2 ms
2025-11-18T02:01:30.803-05:00  INFO 125105 --- [configserver] [http-nio-8080-exec-1] o.s.c.c.s.e.NativeEnvironmentRepository  : Adding property source: Config resource 'file [/tmp/config-repo-8358299291735988992/eurekaserver.yml]' via location 'file:/tmp/config-repo-8358299291735988992/'
2025-11-18T02:31:29.585-05:00  INFO 125105 --- [configserver] [SpringApplicationShutdownHook] o.s.b.w.e.tomcat.GracefulShutdown        : Commencing graceful shutdown. Waiting for active requests to complete
2025-11-18T02:31:29.588-05:00  INFO 125105 --- [configserver] [tomcat-shutdown] o.s.b.w.e.tomcat.GracefulShutdown        : Graceful shutdown complete
